Operator,Station,Code,Cubic Name,NLC,Gated
GTR,Boxhill and Westhumble,GTR,TOC5403,5403,1
GTR,Brighton,GTR,TOC5268,5268,1
GTR,Brookmans Park,GTR,TOC6074,6074,1
GTR,Burgess Hill,GTR,TOC5483,5483,1
GTR,Buxted,GTR,TOC5324,5324,1
GTR,Carshalton,GTR,TOC5405,5405,1
GTR,Carshalton Beeches,GTR,TOC5406,5406,1
GTR,Caterham,GTR,TOC5351,5351,1
GTR,Chichester,GTR,TOC5255,5255,1
GTR,Christ’s Hospital,GTR,TOC5319,5319,1
GTR,City Thameslink (Holborn),GTR,TOC5121,5121,1
GTR,City Thameslink (Ludgate),GTR,TOC5121,5121,1
GTR,Collington,GTR,TOC5457,5457,1
GTR,Cooden Beach,GTR,TOC5458,5458,1
GTR,Cooksbridge,GTR,TOC5336,5336,1
GTR,Coulsdon South,GTR,TOC5408,5408,1
GTR,Cowden,GTR,TOC5409,5409,1
GTR,Crawley,GTR,TOC5484,5484,1
GTR,Cricklewood,GTR,TOC1519,1519,1
GTR,Crowborough,GTR,TOC5325,5325,1
GTR,Cuffley,GTR,TOC6008,6008,1
GTR,Denmark Hill,GTR,TOC5421,5421,1
GTR,Doleham,GTR,TOC5036,5036,1
GTR,Dorking,GTR,TOC5357,5357,1
GTR,Dormans,GTR,TOC5413,5413,1
GTR,Downham Market,GTR,TOC7005,7055,1
GTR,Durrington On Sea,GTR,TOC5282,5282,1
GTR,Earlswood,GTR,TOC5414,5414,1
GTR,East Croydon,GTR,TOC5355,5355,1
GTR,East Grinstead,GTR,TOC5486,5486,1
GTR,East Worthing,GTR,TOC5283,5283,1
GTR,Eastbourne,GTR,TOC5448,5448,1
GTR,Edenbridge,GTR,TOC5473,5473,1
GTR,Edenbridge Town,GTR,TOC5359,5359,1
GTR,Elstree & Borehamwood,GTR,TOC1542,1542,1
GTR,Emsworth,GTR,TOC5257,5257,1
GTR,Enfield Chase,GTR,TOC6010,6010,1
GTR,Epsom,GTR,TOC5360,5360,1
GTR,Eridge,GTR,TOC5459,5459,1
GTR,Falmer,GTR,TOC5337,5337,1
GTR,Faygate,GTR,TOC5493,5493,1
GTR,Finsbury Park,GTR,TOC6119,6119,1
GTR,Fishbourne,GTR,TOC5261,5261,1
GTR,Fishersgate,GTR,TOC5284,5284,1
GTR,Flitwick,GTR,TOC1532,1532,1
GTR,Ford,GTR,TOC5258,5258,1
GTR,Foxton,GTR,TOC7029,7029,1
GTR,Gatwick Airport Station,GTR,TOC5416,5416,1
GTR,Gipsy Hill,GTR,TOC5363,5363,1
